"species","cultivar","location","flowering_f50","year","yday","split","ncal"
"Apricot","Goldrich","Zaragoza","2/20/2021",2021,51,"Calibration","scarce"
"Apricot","Goldrich","Zaragoza","3/12/2015",2015,71,"Calibration","scarce"
"Apricot","Goldrich","Zaragoza","3/9/2012",2012,69,"Calibration","scarce"
"Apricot","Goldrich","Zaragoza","2/24/2016",2016,55,"Calibration","scarce"
"Apricot","Goldrich","Zaragoza","3/18/2005",2005,77,"Calibration","scarce"
"Apricot","Goldrich","Zaragoza","2/26/2000",2000,57,"Validation","full"
"Apricot","Goldrich","Zaragoza","3/2/2009",2009,61,"Validation","full"
"Apricot","Goldrich","Zaragoza","3/11/2010",2010,70,"Validation","full"
"Apricot","Goldrich","Zaragoza","3/2/2011",2011,61,"Validation","full"
"Apricot","Goldrich","Zaragoza","2/28/2019",2019,59,"Validation","full"
"Apricot","Goldrich","Zaragoza","2/20/2020",2020,51,"Validation","full"
"Apricot","Goldrich","Zaragoza","3/3/1999",1999,62,"Validation","scarce"
"Apricot","Goldrich","Zaragoza","2/26/2000",2000,57,"Validation","scarce"
"Apricot","Goldrich","Zaragoza","3/7/2001",2001,66,"Validation","scarce"
"Apricot","Goldrich","Zaragoza","3/8/2003",2003,67,"Validation","scarce"
"Apricot","Goldrich","Zaragoza","3/8/2006",2006,67,"Validation","scarce"
"Apricot","Goldrich","Zaragoza","3/2/2009",2009,61,"Validation","scarce"
"Apricot","Goldrich","Zaragoza","3/11/2010",2010,70,"Validation","scarce"
"Apricot","Goldrich","Zaragoza","3/2/2011",2011,61,"Validation","scarce"
"Apricot","Goldrich","Zaragoza","3/8/2018",2018,67,"Validation","scarce"
"Apricot","Goldrich","Zaragoza","2/28/2019",2019,59,"Validation","scarce"
"Apricot","Goldrich","Zaragoza","2/20/2020",2020,51,"Validation","scarce"
"Apricot","Sunglo","Zaragoza","3/9/2009",2009,68,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/25/2004",2004,85,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/6/2019",2019,65,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/20/2010",2010,79,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/15/2012",2012,75,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/2/2000",2000,62,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/21/2005",2005,80,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/13/1999",1999,72,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/8/2022",2022,67,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/11/2001",2001,70,"Calibration","full"
"Apricot","Sunglo","Zaragoza","2/26/2020",2020,57,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/11/2006",2006,70,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/14/2013",2013,73,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/16/2003",2003,75,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/18/2015",2015,77,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/20/2018",2018,79,"Calibration","full"
"Apricot","Sunglo","Zaragoza","3/11/2006",2006,70,"Calibration","scarce"
"Apricot","Sunglo","Zaragoza","3/25/2004",2004,85,"Calibration","scarce"
"Apricot","Sunglo","Zaragoza","3/16/2003",2003,75,"Calibration","scarce"
"Apricot","Sunglo","Zaragoza","3/18/2015",2015,77,"Calibration","scarce"
"Apricot","Sunglo","Zaragoza","3/11/2001",2001,70,"Calibration","scarce"
"Apricot","Sunglo","Zaragoza","3/13/1999",1999,72,"Calibration","scarce"
"Apricot","Sunglo","Zaragoza","3/6/2019",2019,65,"Calibration","scarce"
"Apricot","Sunglo","Zaragoza","3/2/2000",2000,62,"Calibration","scarce"
"Apricot","Sunglo","Zaragoza","3/9/2009",2009,68,"Calibration","scarce"
"Apricot","Sunglo","Zaragoza","3/20/2018",2018,79,"Calibration","scarce"
"Apricot","Sunglo","Zaragoza","3/4/2002",2002,63,"Validation","full"
"Apricot","Sunglo","Zaragoza","3/10/2011",2011,69,"Validation","full"
"Apricot","Sunglo","Zaragoza","3/16/2014",2014,75,"Validation","full"
"Apricot","Sunglo","Zaragoza","3/2/2016",2016,62,"Validation","full"
"Apricot","Sunglo","Zaragoza","3/3/2017",2017,62,"Validation","full"
"Apricot","Sunglo","Zaragoza","3/1/2021",2021,60,"Validation","full"
"Apricot","Sunglo","Zaragoza","3/4/2002",2002,63,"Validation","scarce"
"Apricot","Sunglo","Zaragoza","3/21/2005",2005,80,"Validation","scarce"
"Apricot","Sunglo","Zaragoza","3/20/2010",2010,79,"Validation","scarce"
"Apricot","Sunglo","Zaragoza","3/10/2011",2011,69,"Validation","scarce"
"Apricot","Sunglo","Zaragoza","3/15/2012",2012,75,"Validation","scarce"
"Apricot","Sunglo","Zaragoza","3/14/2013",2013,73,"Validation","scarce"
"Apricot","Sunglo","Zaragoza","3/16/2014",2014,75,"Validation","scarce"
"Apricot","Sunglo","Zaragoza","3/2/2016",2016,62,"Validation","scarce"
"Apricot","Sunglo","Zaragoza","3/3/2017",2017,62,"Validation","scarce"
"Apricot","Sunglo","Zaragoza","2/26/2020",2020,57,"Validation","scarce"
"Apricot","Sunglo","Zaragoza","3/1/2021",2021,60,"Validation","scarce"
"Apricot","Sunglo","Zaragoza","3/8/2022",2022,67,"Validation","scarce"
"Apricot","Bulida","Cieza","3/9/2015",2015,68,"Calibration","full"
"Apricot","Bulida","Cieza","3/4/2016",2016,64,"Calibration","full"
"Apricot","Bulida","Cieza","3/5/2015",2015,64,"Calibration","full"
"Apricot","Bulida","Cieza","3/21/2010",2010,80,"Calibration","full"
"Apricot","Bulida","Cieza","3/5/2014",2014,64,"Calibration","full"
"Apricot","Bulida","Cieza","3/9/2013",2013,68,"Calibration","full"
"Apricot","Bulida","Cieza","3/14/2012",2012,74,"Calibration","full"
"Apricot","Bulida","Cieza","3/6/2004",2004,66,"Calibration","full"
"Apricot","Bulida","Cieza","3/10/2006",2006,69,"Calibration","full"
"Apricot","Bulida","Cieza","3/12/2018",2018,71,"Calibration","full"
"Apricot","Bulida","Cieza","3/4/2011",2011,63,"Calibration","full"
"Apricot","Bulida","Cieza","3/8/2017",2017,67,"Calibration","full"
