"cultivar","location","yc","zc","s1","Tu","theta_star","theta_c","tau","pie_c","Tf","Tc","Tb","slope","E0","E1","A0","A1","fit","n_cal"
"Henderson","Zaragoza",69.3980778240546,178.104619505262,1.2,25,NA,NA,NA,NA,4,36,4,1.6,4153.5,12888.8,139500,2.567e+18,"baseline","full"
"Harcot","Zaragoza",45.7338696517486,213.335739968577,0.545326871917961,25,NA,NA,NA,NA,4,36,4,1.6,4153.5,12888.8,139500,2.567e+18,"baseline","full"
"Goldrich","Zaragoza",47.0922652859225,199.122495082139,0.402987138512803,25,NA,NA,NA,NA,4,36,4,1.6,4153.5,12888.8,139500,2.567e+18,"baseline","full"
"Sunglo","Zaragoza",61.0721434891261,195.944003281951,1.18509009488234,25,NA,NA,NA,NA,4,36,4,1.6,4153.5,12888.8,139500,2.567e+18,"baseline","full"
"Búlida","Cieza",37.1520298641494,289.321245739675,0.100810292106468,25,NA,NA,NA,NA,4,36,4,1.6,4153.5,12888.8,139500,2.567e+18,"baseline","full"
"Dorada","Cieza",43.0891383827512,360.679394637589,0.291566317183423,25,NA,NA,NA,NA,4,36,4,1.6,4153.5,12888.8,139500,2.567e+18,"baseline","full"
"Henderson","Zaragoza",69.6087977127177,185.32194957894,0.577131940248024,25,NA,NA,NA,NA,4,36,4,1.6,4153.5,12888.8,139500,2.567e+18,"baseline","scarce"
"Harcot","Zaragoza",46.1432647762036,208.963646502709,0.508530511171789,25,NA,NA,NA,NA,4,36,4,1.6,4153.5,12888.8,139500,2.567e+18,"baseline","scarce"
"Goldrich","Zaragoza",46.7962165274964,190.523550252802,0.375705279891111,25,NA,NA,NA,NA,4,36,4,1.6,4153.5,12888.8,139500,2.567e+18,"baseline","scarce"
"Sunglo","Zaragoza",67.621771973995,183.82715415603,0.688916133271411,25,NA,NA,NA,NA,4,36,4,1.6,4153.5,12888.8,139500,2.567e+18,"baseline","scarce"
"Búlida","Cieza",36.8207117089417,291.116684767278,0.10100884350967,25,NA,NA,NA,NA,4,36,4,1.6,4153.5,12888.8,139500,2.567e+18,"baseline","scarce"
"Dorada","Cieza",43.9631302663272,344.265057556781,0.260058980233873,25,NA,NA,NA,NA,4,36,4,1.6,4153.5,12888.8,139500,2.567e+18,"baseline","scarce"
