"predicted","species","cultivar","ncal","split","location","year","fit","observed"
65.04,"Almond","Nonpareil","scarce","Validation","Sfax",1991,"single",60
62.17,"Almond","Nonpareil","scarce","Validation","Sfax",1995,"single",54
73.96,"Almond","Nonpareil","scarce","Validation","Sfax",1996,"single",53
64.42,"Almond","Nonpareil","scarce","Validation","Sfax",1998,"single",58
71.17,"Almond","Nonpareil","scarce","Validation","Sfax",2003,"single",77
67.42,"Almond","Nonpareil","scarce","Validation","Sfax",2004,"single",55
63.17,"Almond","Nonpareil","scarce","Validation","Sfax",2006,"single",60
80.17,"Almond","Nonpareil","scarce","Validation","Sfax",2012,"single",67
74.46,"Almond","Nonpareil","scarce","Validation","Sfax",2015,"single",46
74.25,"Almond","Nonpareil","scarce","Validation","Sfax",2016,"single",65
50.12,"Almond","Tuono","scarce","Calibration","Meknes",1975,"single",56
63.12,"Almond","Tuono","scarce","Calibration","Meknes",2012,"single",58
61.21,"Almond","Tuono","scarce","Calibration","Meknes",1989,"single",62
64.29,"Almond","Tuono","scarce","Calibration","Meknes",1995,"single",64
54.04,"Almond","Tuono","scarce","Calibration","Meknes",1985,"single",56
69.46,"Almond","Tuono","scarce","Calibration","Meknes",2005,"single",59
72.46,"Almond","Tuono","scarce","Calibration","Meknes",1982,"single",61
53.83,"Almond","Tuono","scarce","Calibration","Meknes",1983,"single",64
75.33,"Almond","Tuono","scarce","Calibration","Meknes",1999,"single",73
55.33,"Almond","Tuono","scarce","Calibration","Meknes",1994,"single",63
58.96,"Almond","Tuono","scarce","Validation","Meknes",1974,"single",59
60.04,"Almond","Tuono","scarce","Validation","Meknes",1976,"single",65
45.25,"Almond","Tuono","scarce","Validation","Meknes",1977,"single",56
59.42,"Almond","Tuono","scarce","Validation","Meknes",1978,"single",59
84.79,"Almond","Tuono","scarce","Validation","Meknes",1979,"single",58
53,"Almond","Tuono","scarce","Validation","Meknes",1980,"single",52
59.38,"Almond","Tuono","scarce","Validation","Meknes",1981,"single",59
77.04,"Almond","Tuono","scarce","Validation","Meknes",1984,"single",78
59.21,"Almond","Tuono","scarce","Validation","Meknes",1986,"single",65
57.17,"Almond","Tuono","scarce","Validation","Meknes",1987,"single",60
66.25,"Almond","Tuono","scarce","Validation","Meknes",1988,"single",62
62.17,"Almond","Tuono","scarce","Validation","Meknes",1990,"single",65
74.25,"Almond","Tuono","scarce","Validation","Meknes",1991,"single",65
48.04,"Almond","Tuono","scarce","Validation","Meknes",1992,"single",55
54.33,"Almond","Tuono","scarce","Validation","Meknes",1993,"single",66
81.33,"Almond","Tuono","scarce","Validation","Meknes",1996,"single",66
52.04,"Almond","Tuono","scarce","Validation","Meknes",1997,"single",63
55.25,"Almond","Tuono","scarce","Validation","Meknes",1998,"single",69
56.25,"Almond","Tuono","scarce","Validation","Meknes",2000,"single",56
52.17,"Almond","Tuono","scarce","Validation","Meknes",2001,"single",59
55.5,"Almond","Tuono","scarce","Validation","Meknes",2002,"single",60
67.04,"Almond","Tuono","scarce","Validation","Meknes",2003,"single",62
50.29,"Almond","Tuono","scarce","Validation","Meknes",2004,"single",61
71.92,"Almond","Tuono","scarce","Validation","Meknes",2006,"single",60
63.04,"Almond","Tuono","scarce","Validation","Meknes",2007,"single",71
50.17,"Almond","Tuono","scarce","Validation","Meknes",2008,"single",62
51.12,"Almond","Tuono","scarce","Validation","Meknes",2009,"single",53
66.08,"Almond","Tuono","scarce","Validation","Meknes",2010,"single",60
70.17,"Almond","Tuono","scarce","Validation","Meknes",2011,"single",63
65.79,"Almond","Tuono","scarce","Validation","Meknes",2013,"single",57
65.42,"Almond","Tuono","scarce","Validation","Meknes",2014,"single",59
21.17,"Almond","Desmayo","full","Calibration","Santomera",2020,"single",20
30.17,"Almond","Desmayo","full","Calibration","Santomera",1998,"single",31
39,"Almond","Desmayo","full","Calibration","Santomera",2007,"single",36
30.08,"Almond","Desmayo","full","Calibration","Santomera",2016,"single",28
31,"Almond","Desmayo","full","Calibration","Santomera",2011,"single",31
32.33,"Almond","Desmayo","full","Calibration","Santomera",2012,"single",30
19.33,"Almond","Desmayo","full","Calibration","Santomera",2013,"single",21
33.21,"Almond","Desmayo","full","Calibration","Santomera",2006,"single",34
29.88,"Almond","Desmayo","full","Calibration","Santomera",2019,"single",31
24.25,"Almond","Desmayo","full","Calibration","Santomera",2018,"single",29
30.29,"Almond","Desmayo","full","Calibration","Santomera",2005,"single",30
33,"Almond","Desmayo","full","Calibration","Santomera",2003,"single",36
37,"Almond","Desmayo","full","Calibration","Santomera",2010,"single",40
21.08,"Almond","Desmayo","full","Calibration","Santomera",2014,"single",24
24.38,"Almond","Desmayo","full","Calibration","Santomera",2004,"single",22
30.29,"Almond","Desmayo","full","Validation","Santomera",1997,"single",22
21.08,"Almond","Desmayo","full","Validation","Santomera",2008,"single",22
24.17,"Almond","Desmayo","full","Validation","Santomera",2009,"single",26
39.12,"Almond","Desmayo","full","Validation","Santomera",2015,"single",38
34.88,"Almond","Desmayo","full","Validation","Santomera",2017,"single",30
13,"Almond","Desmayo","full","Validation","Santomera",2022,"single",15
59.88,"Almond","Fasciuneddu","full","Calibration","Sfax",2013,"single",76
49.96,"Almond","Fasciuneddu","full","Calibration","Sfax",1982,"single",49
52.04,"Almond","Fasciuneddu","full","Calibration","Sfax",1993,"single",54
58.04,"Almond","Fasciuneddu","full","Calibration","Sfax",2005,"single",64
42.42,"Almond","Fasciuneddu","full","Calibration","Sfax",1999,"single",42
53.42,"Almond","Fasciuneddu","full","Calibration","Sfax",2001,"single",51
47.17,"Almond","Fasciuneddu","full","Calibration","Sfax",2002,"single",46
42.33,"Almond","Fasciuneddu","full","Calibration","Sfax",1992,"single",42
56.38,"Almond","Fasciuneddu","full","Calibration","Sfax",2015,"single",42
46.96,"Almond","Fasciuneddu","full","Calibration","Sfax",2006,"single",51
49.12,"Almond","Fasciuneddu","full","Calibration","Sfax",1991,"single",47
48.88,"Almond","Fasciuneddu","full","Calibration","Sfax",1986,"single",49
48.25,"Almond","Fasciuneddu","full","Calibration","Sfax",1998,"single",46
50.33,"Almond","Fasciuneddu","full","Calibration","Sfax",1996,"single",45
47.12,"Almond","Fasciuneddu","full","Calibration","Sfax",2008,"single",44
39.38,"Almond","Fasciuneddu","full","Calibration","Sfax",2014,"single",41
48.12,"Almond","Fasciuneddu","full","Validation","Sfax",1981,"single",59
42.38,"Almond","Fasciuneddu","full","Validation","Sfax",1987,"single",40
49.54,"Almond","Fasciuneddu","full","Validation","Sfax",1995,"single",54
57,"Almond","Fasciuneddu","full","Validation","Sfax",2003,"single",50
51.75,"Almond","Fasciuneddu","full","Validation","Sfax",2004,"single",47
62.21,"Almond","Fasciuneddu","full","Validation","Sfax",2012,"single",73
55.88,"Almond","Ferragnes","full","Calibration","Meknes",1978,"single",57
48,"Almond","Ferragnes","full","Calibration","Meknes",1992,"single",55
60.96,"Almond","Ferragnes","full","Calibration","Meknes",1998,"single",64
61.71,"Almond","Ferragnes","full","Calibration","Meknes",1988,"single",61
57.25,"Almond","Ferragnes","full","Calibration","Meknes",2008,"single",62
58.88,"Almond","Ferragnes","full","Calibration","Meknes",1985,"single",69
63.04,"Almond","Ferragnes","full","Calibration","Meknes",2011,"single",63
59.04,"Almond","Ferragnes","full","Calibration","Meknes",1986,"single",68
55.96,"Almond","Ferragnes","full","Calibration","Meknes",2002,"single",59
54.62,"Almond","Ferragnes","full","Calibration","Meknes",1997,"single",61
51.12,"Almond","Ferragnes","full","Calibration","Meknes",2004,"single",62
66.33,"Almond","Ferragnes","full","Calibration","Meknes",1979,"single",59
76.38,"Almond","Ferragnes","full","Calibration","Meknes",1984,"single",76
71,"Almond","Ferragnes","full","Calibration","Meknes",1999,"single",69
68.5,"Almond","Ferragnes","full","Calibration","Meknes",1991,"single",60
64.46,"Almond","Ferragnes","full","Calibration","Meknes",1993,"single",63
51.29,"Almond","Ferragnes","full","Calibration","Meknes",1994,"single",61
69.33,"Almond","Ferragnes","full","Calibration","Meknes",2012,"single",72
66.42,"Almond","Ferragnes","full","Calibration","Meknes",2007,"single",69
67.04,"Almond","Ferragnes","full","Calibration","Meknes",2003,"single",61
65.38,"Almond","Ferragnes","full","Calibration","Meknes",1989,"single",61
62.92,"Almond","Ferragnes","full","Calibration","Meknes",2014,"single",61
64.38,"Almond","Ferragnes","full","Calibration","Meknes",1990,"single",61
66.04,"Almond","Ferragnes","full","Calibration","Meknes",2010,"single",64
73.21,"Almond","Ferragnes","full","Calibration","Meknes",1982,"single",60
72.33,"Almond","Ferragnes","full","Calibration","Meknes",2005,"single",60
56.17,"Almond","Ferragnes","full","Calibration","Meknes",1983,"single",61
66.25,"Almond","Ferragnes","full","Calibration","Meknes",1996,"single",63
37.79,"Almond","Ferragnes","full","Validation","Meknes",1977,"single",57
57.54,"Almond","Ferragnes","full","Validation","Meknes",1980,"single",59
63.29,"Almond","Ferragnes","full","Validation","Meknes",1981,"single",60
57.21,"Almond","Ferragnes","full","Validation","Meknes",1987,"single",63
72.67,"Almond","Ferragnes","full","Validation","Meknes",1995,"single",62
60.33,"Almond","Ferragnes","full","Validation","Meknes",2000,"single",52
46.46,"Almond","Ferragnes","full","Validation","Meknes",2001,"single",58
66.29,"Almond","Ferragnes","full","Validation","Meknes",2006,"single",63
49.42,"Almond","Ferragnes","full","Validation","Meknes",2009,"single",55
61.17,"Almond","Ferragnes","full","Validation","Meknes",2013,"single",62
40.17,"Almond","Marcona","full","Calibration","Meknes",1978,"single",41
38.04,"Almond","Marcona","full","Calibration","Meknes",1992,"single",46
48,"Almond","Marcona","full","Calibration","Meknes",1998,"single",59
51.62,"Almond","Marcona","full","Calibration","Meknes",1988,"single",46
48.38,"Almond","Marcona","full","Calibration","Meknes",2008,"single",43
45.04,"Almond","Marcona","full","Calibration","Meknes",1985,"single",53
48.12,"Almond","Marcona","full","Calibration","Meknes",2011,"single",46
50.38,"Almond","Marcona","full","Calibration","Meknes",1986,"single",60
34.08,"Almond","Marcona","full","Calibration","Meknes",2002,"single",41
46.54,"Almond","Marcona","full","Calibration","Meknes",1997,"single",56
40.92,"Almond","Marcona","full","Calibration","Meknes",2004,"single",46
54.38,"Almond","Marcona","full","Calibration","Meknes",1979,"single",43
65.21,"Almond","Marcona","full","Calibration","Meknes",1984,"single",64
64.21,"Almond","Marcona","full","Calibration","Meknes",1999,"single",64
63,"Almond","Marcona","full","Calibration","Meknes",1991,"single",51
49.88,"Almond","Marcona","full","Calibration","Meknes",1993,"single",63
42.96,"Almond","Marcona","full","Calibration","Meknes",1994,"single",60
60.12,"Almond","Marcona","full","Calibration","Meknes",2012,"single",51
57.33,"Almond","Marcona","full","Calibration","Meknes",2007,"single",56
55.25,"Almond","Marcona","full","Calibration","Meknes",2003,"single",43
62,"Almond","Marcona","full","Calibration","Meknes",1989,"single",53
48.38,"Almond","Marcona","full","Calibration","Meknes",2014,"single",47
55.12,"Almond","Marcona","full","Calibration","Meknes",1990,"single",51
50.75,"Almond","Marcona","full","Calibration","Meknes",2010,"single",48
62,"Almond","Marcona","full","Calibration","Meknes",1982,"single",49
61.38,"Almond","Marcona","full","Calibration","Meknes",2005,"single",44
