species,cultivar,location,climatic_classification,climatic_data,year,dormancy_break_field,breaking_dormancy_40_baggiolini,begin_flowering_f5,flowering_f50,flowering_f90,end_flowering,ripening,bud_drop,flower_anomaly,spring_frost_damage,productivity,fruit_quality,rootstock,plantation_framework,training_system,irrigation_system,source,comment,country
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2014,NA,NA,NA,3/17/2014,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2015,NA,NA,NA,3/18/2015,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2016,NA,NA,NA,3/2/2016,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2017,NA,NA,NA,3/3/2017,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2018,NA,NA,NA,3/20/2018,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2019,NA,NA,NA,3/8/2019,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2020,NA,NA,NA,3/15/2020,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2021,NA,NA,NA,3/16/2021,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2022,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Peñaflor,Zaragoza,Arid Cold steppe ,Yes,2004,NA,NA,NA,3/25/2004,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Peñaflor,Zaragoza,Arid Cold steppe ,Yes,2005,NA,NA,NA,3/21/2005,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Peñaflor,Zaragoza,Arid Cold steppe ,Yes,2006,NA,NA,NA,3/14/2006,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Peñaflor,Zaragoza,Arid Cold steppe ,Yes,2009,NA,NA,NA,3/6/2009,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Peñaflor,Zaragoza,Arid Cold steppe ,Yes,2010,NA,NA,NA,3/18/2010,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Peñaflor,Zaragoza,Arid Cold steppe ,Yes,2011,NA,NA,NA,3/6/2011,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Peñaflor,Zaragoza,Arid Cold steppe ,Yes,2012,NA,NA,NA,3/14/2012,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Peñaflor,Zaragoza,Arid Cold steppe ,Yes,2013,NA,NA,NA,3/11/2013,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Peñaflor,Zaragoza,Arid Cold steppe ,Yes,2014,NA,NA,NA,3/12/2014,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Peñaflor,Zaragoza,Arid Cold steppe ,Yes,2015,NA,NA,NA,3/16/2015,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Peñaflor,Zaragoza,Arid Cold steppe ,Yes,2016,NA,NA,NA,3/1/2016,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Peñaflor,Zaragoza,Arid Cold steppe ,Yes,2017,NA,NA,NA,3/2/2017,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Peñaflor,Zaragoza,Arid Cold steppe ,Yes,2018,NA,NA,NA,3/17/2018,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Peñaflor,Zaragoza,Arid Cold steppe ,Yes,2022,NA,NA,NA,3/2/2022,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,1999,NA,NA,NA,3/6/1999,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2000,NA,NA,NA,2/28/2000,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2001,NA,NA,NA,3/7/2001,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2002,NA,NA,NA,2/28/2002,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2003,NA,NA,NA,3/9/2003,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2004,NA,NA,NA,3/5/2004,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2005,NA,NA,NA,3/18/2005,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2006,NA,NA,NA,3/8/2006,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2009,NA,NA,NA,3/2/2009,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2010,NA,NA,NA,3/11/2010,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2011,NA,NA,NA,3/2/2011,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2012,NA,NA,NA,3/9/2012,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2013,NA,NA,NA,3/11/2013,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2014,NA,NA,NA,2/28/2014,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2015,NA,NA,NA,3/12/2015,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2016,NA,NA,NA,2/23/2016,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2017,NA,NA,NA,2/24/2017,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2018,NA,NA,NA,3/8/2018,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
