"species","cultivar","location","year","flowering_f50","yday","cult_loc","r","split","ncal"
"Almond","Marcona","Meknes",2010,"2/17/2010",48,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1982,"2/18/1982",49,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",2005,"2/13/2005",44,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1983,"2/19/1983",50,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1996,"3/2/1996",62,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marta","Santomera",2008,"2/9/2008",40,"Marta-Santomera",1,"Calibration","full"
"Almond","Marta","Santomera",2006,"2/25/2006",56,"Marta-Santomera",1,"Calibration","full"
"Almond","Marta","Santomera",2011,"2/19/2011",50,"Marta-Santomera",1,"Calibration","full"
"Almond","Marta","Santomera",2018,"2/20/2018",51,"Marta-Santomera",1,"Calibration","full"
"Almond","Marta","Santomera",2010,"2/27/2010",58,"Marta-Santomera",1,"Calibration","full"
"Almond","Marta","Santomera",2019,"2/25/2019",56,"Marta-Santomera",1,"Calibration","full"
"Almond","Marta","Santomera",2021,"2/10/2021",41,"Marta-Santomera",1,"Calibration","full"
"Almond","Marta","Santomera",2007,"2/17/2007",48,"Marta-Santomera",1,"Calibration","full"
"Almond","Marta","Santomera",2005,"2/26/2005",57,"Marta-Santomera",1,"Calibration","full"
"Almond","Marta","Santomera",2012,"3/2/2012",62,"Marta-Santomera",1,"Calibration","full"
"Almond","Mazzetto","Sfax",2013,"3/21/2013",80,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",1982,"3/8/1982",67,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",1993,"3/16/1993",75,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",2005,"3/19/2005",78,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",1999,"3/1/1999",60,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",2001,"3/7/2001",66,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",2002,"3/2/2002",61,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",1992,"2/26/1992",57,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",2015,"3/4/2015",63,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",2006,"3/6/2006",65,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",1991,"3/5/1991",64,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",1986,"3/4/1986",63,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",1998,"3/11/1998",70,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",1996,"3/13/1996",73,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",2008,"3/1/2008",61,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Mazzetto","Sfax",2014,"2/26/2014",57,"Mazzetto-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",2013,"3/17/2013",76,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",1982,"3/6/1982",65,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",1993,"3/14/1993",73,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",2005,"3/19/2005",78,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",1999,"2/26/1999",57,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",2001,"3/3/2001",62,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",2002,"3/1/2002",60,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",1992,"3/2/1992",62,"Nonpareil-Sfax",1,"Calibration","full"
