"species","cultivar","yday","year","split","ncal","location","loc.year"
"Almond","Mazzetto",73,1996,"Calibration","full","Sfax","Sfax.1996"
"Almond","Mazzetto",61,2008,"Calibration","full","Sfax","Sfax.2008"
"Almond","Mazzetto",57,2014,"Calibration","full","Sfax","Sfax.2014"
"Almond","Nonpareil",76,2013,"Calibration","full","Sfax","Sfax.2013"
"Almond","Nonpareil",65,1982,"Calibration","full","Sfax","Sfax.1982"
"Almond","Nonpareil",73,1993,"Calibration","full","Sfax","Sfax.1993"
"Almond","Nonpareil",78,2005,"Calibration","full","Sfax","Sfax.2005"
"Almond","Nonpareil",57,1999,"Calibration","full","Sfax","Sfax.1999"
"Almond","Nonpareil",62,2001,"Calibration","full","Sfax","Sfax.2001"
"Almond","Nonpareil",60,2002,"Calibration","full","Sfax","Sfax.2002"
"Almond","Nonpareil",62,1992,"Calibration","full","Sfax","Sfax.1992"
"Almond","Nonpareil",43,2014,"Calibration","full","Sfax","Sfax.2014"
"Almond","Nonpareil",59,2008,"Calibration","full","Sfax","Sfax.2008"
"Almond","Nonpareil",60,1991,"Calibration","full","Sfax","Sfax.1991"
"Almond","Nonpareil",56,1986,"Calibration","full","Sfax","Sfax.1986"
"Almond","Nonpareil",58,1998,"Calibration","full","Sfax","Sfax.1998"
"Almond","Nonpareil",53,1996,"Calibration","full","Sfax","Sfax.1996"
"Almond","Nonpareil",67,2012,"Calibration","full","Sfax","Sfax.2012"
"Almond","Nonpareil",65,2016,"Calibration","full","Sfax","Sfax.2016"
"Almond","Nonpareil",52,1987,"Calibration","full","Sfax","Sfax.1987"
"Almond","Tuono",56,1975,"Calibration","full","Meknes","Meknes.1975"
"Almond","Tuono",58,2012,"Calibration","full","Meknes","Meknes.2012"
"Almond","Tuono",62,1989,"Calibration","full","Meknes","Meknes.1989"
"Almond","Tuono",64,1995,"Calibration","full","Meknes","Meknes.1995"
"Almond","Tuono",56,1985,"Calibration","full","Meknes","Meknes.1985"
"Almond","Tuono",59,2005,"Calibration","full","Meknes","Meknes.2005"
"Almond","Tuono",61,1982,"Calibration","full","Meknes","Meknes.1982"
"Almond","Tuono",64,1983,"Calibration","full","Meknes","Meknes.1983"
"Almond","Tuono",73,1999,"Calibration","full","Meknes","Meknes.1999"
"Almond","Tuono",63,1994,"Calibration","full","Meknes","Meknes.1994"
"Almond","Tuono",59,2001,"Calibration","full","Meknes","Meknes.2001"
"Almond","Tuono",65,1976,"Calibration","full","Meknes","Meknes.1976"
"Almond","Tuono",59,1981,"Calibration","full","Meknes","Meknes.1981"
"Almond","Tuono",66,1996,"Calibration","full","Meknes","Meknes.1996"
"Almond","Tuono",62,1988,"Calibration","full","Meknes","Meknes.1988"
"Almond","Tuono",65,1990,"Calibration","full","Meknes","Meknes.1990"
"Almond","Tuono",65,1991,"Calibration","full","Meknes","Meknes.1991"
"Almond","Tuono",62,2003,"Calibration","full","Meknes","Meknes.2003"
"Almond","Tuono",63,2011,"Calibration","full","Meknes","Meknes.2011"
"Almond","Tuono",62,2008,"Calibration","full","Meknes","Meknes.2008"
"Almond","Tuono",56,2000,"Calibration","full","Meknes","Meknes.2000"
"Almond","Tuono",65,1986,"Calibration","full","Meknes","Meknes.1986"
"Almond","Tuono",60,2006,"Calibration","full","Meknes","Meknes.2006"
"Almond","Tuono",60,1987,"Calibration","full","Meknes","Meknes.1987"
